"Campaign name","Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)","Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","Shop clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Cost per landing page view","LPV rate","hold rate","hook rate","Purchases rate per landing page views","Reporting starts","Reporting ends"
compost,inactive,campaign,"7-day click or 1-day view","Website purchases",8,21771,1.43750861,5.07125,40.57,-,-,-,31296,1.2963318,1329,0,0.03052671,4.24654908,2638,8.42919223,0.01537908,970,0.04182474,0.72987208,0.31569343,0.3502045,0.82474227,2025-06-25,2026-05-23
"el 9adouma",inactive,campaign,"7-day click or 1-day view","Website purchases",6,21118,1.39852259,6.575,39.45,-,-,-,29534,1.33574863,1602,0,0.02462547,5.42425679,2200,7.44904178,0.01793182,1112,0.03547662,0.69413233,0.31516588,0.3429268,0.53956835,2025-06-25,2026-05-23
"شجرة البوصاع",inactive,campaign,"7-day click or 1-day view","Website purchases",15,36736,1.29916159,2.04533333,30.68,-,-,-,47726,0.64283619,1372,0,0.02236152,2.87474333,3485,7.30209948,0.00880344,937,0.0327428,0.68294461,,0,1.60085379,2025-06-25,2026-05-23
"romman nv",inactive,campaign,"7-day click or 1-day view","Website purchases",3,10625,1.26484706,9.96,29.88,-,-,-,13439,2.22337972,476,0,0.06277311,3.5419302,780,5.80400327,0.03830769,315,0.09485714,0.66176471,0.25669291,0.33075378,0.95238095,2025-06-25,2026-05-23
"rouh el ardh",inactive,campaign,"7-day click or 1-day view","Website purchases",3,15518,1.07668514,7.17333333,21.52,-,-,-,16708,1.28800575,622,0,0.03459807,3.72276754,1197,7.1642327,0.01797828,451,0.04771619,0.72508039,0.28526693,0.40136462,0.66518847,2025-06-25,2026-05-23
grafting,inactive,campaign,"7-day click or 1-day view","Website purchases",8,23361,1.25923548,2.34375,18.75,-,-,-,29417,0.63738655,688,0,0.02725291,2.3387837,905,3.07645239,0.02071823,457,0.04102845,0.66424419,0.28505923,0.26688649,1.75054705,2025-06-25,2026-05-23
feetifix,inactive,campaign,"7-day click or 1-day view","Website purchases",7,21496,1.13942129,2.41285714,16.89,-,-,-,24493,0.68958478,613,0,0.02755302,2.50275589,851,3.47446209,0.01984724,417,0.0405036,0.68026101,0.26271421,0.29543135,1.67865707,2025-06-25,2026-05-23
"carrisa msg Campagne",inactive,campaign,"7-day click or 1-day view","Meta leads",2,11525,1.33127983,4.99,9.98,-,-,-,15343,0.65045949,306,0,0.03261438,1.99439484,616,4.0148602,0.0162013,,,0,0.23631405,0.33454996,0,2025-06-25,2026-05-23
"find back callus",archived,campaign,"7-day click, 1-day view, or 1-day engaged-view",actions:purchase,2,11313,1.05392027,4.05,8.1,-,-,-,11923,0.67935922,170,0,0.04764706,1.42581565,233,1.95420616,0.03476395,114,0.07105263,0.67058824,0.19519833,0.16069781,1.75438596,2025-06-25,2026-05-23
"multifunctional shower",archived,campaign,"7-day click or 1-day view",actions:purchase,2,4718,1.13819415,3.725,7.45,-,-,-,5370,1.38733706,158,0,0.0471519,2.94227188,224,4.17132216,0.03325893,115,0.06478261,0.7278481,0.32563025,0.26592179,1.73913043,2025-06-25,2026-05-23
"tête de mélangeur 1080° test 2",archived,campaign,"7-day click or 1-day view",,,6346,1.05909234,,6.74,-,-,-,6721,1.00282696,263,0,0.02562738,3.91310817,304,4.52313644,0.02217105,169,0.03988166,0.64258555,0.27313677,0.36333879,0,2025-06-25,2026-05-23
HILAC,archived,campaign,"7-day click or 1-day view",,,5751,1.07390019,,6.31,-,-,-,6176,1.02169689,140,0,0.04507143,2.26683938,314,5.08419689,0.02009554,113,0.05584071,0.80714286,0.25362319,0.31282383,0,2025-06-25,2026-05-23
"Red One image - Copie",inactive,campaign,"7-day click or 1-day view","Website purchases",4,11871,1.0075815,1.515,6.06,-,-,-,11961,0.5066466,243,0,0.02493827,2.03160271,623,5.2085946,0.00972713,173,0.0350289,0.71193416,,0,2.31213873,2025-06-25,2026-05-23
"مقص تلقيم و تطعيم الأشجار",inactive,campaign,"7-day click or 1-day view","Website purchases",1,5823,1.15060965,5.64,5.64,-,-,-,6700,0.84179104,179,0,0.03150838,2.67164179,244,3.64179104,0.02311475,122,0.04622951,0.68156425,0.29566626,0.36850746,0.81967213,2025-06-25,2026-05-23
moringa,inactive,campaign,"7-day click or 1-day view","Website purchases",4,3980,1.06482412,1.15,4.6,-,-,-,4238,1.08541765,122,0,0.03770492,2.87871638,264,6.22935347,0.01742424,86,0.05348837,0.70491803,0.30551724,0.34214252,4.65116279,2025-06-25,2026-05-23
"لوحة الكتابة و الرسم الذكية",archived,campaign,"7-day click or 1-day view",,,6255,1.01406875,,4.46,-,-,-,6343,0.70313732,154,0,0.02896104,2.42787325,213,3.35803248,0.02093897,95,0.04694737,0.61688312,0.27375971,0.26375532,0,2025-06-25,2026-05-23
"multifunctional shower",archived,campaign,"7-day click or 1-day view",,,406,1.01724138,,0.64,-,-,-,413,1.5496368,15,0,0.04266667,3.63196126,25,6.05326877,0.0256,6,0.10666667,0.4,0.28244275,0.31719128,0,2025-06-25,2026-05-23
"testing Multifunctional  Shower 1",archived,campaign,"7-day click, 1-day view, or 1-day engaged-view",,,2962,1.01080351,,0.52,-,-,-,2994,0.17368069,10,0,0.052,0.33400134,16,0.53440214,0.0325,6,0.08666667,0.6,,0,0,2025-06-25,2026-05-23
